kid	mass	merr	age	aerr	z	zerr	period	perr	teff	terr
6116048	1.01	0.03	6.23	0.37	0.0118	0.0011	17.26	1.96	6072	49
7871531	0.84	0.02	9.15	0.47	0.0125	0.0014	33.72	2.60	5378	57
8006161	1.04	0.02	5.04	0.17	0.0427	0.0052	29.79	3.09	5264	104
9098294	1.00	0.03	7.28	0.51	0.0143	0.0018	19.79	1.33	6020	51
9955598	0.89	0.02	6.72	0.20	0.0231	0.0017	34.20	5.64	5434	77
10454113 1.19	0.04	2.03	0.29	0.0168	0.0012	14.61	1.09	6197	45
10644253 1.13	0.05	1.07	0.25	0.0239	0.0024	10.91	0.87	6069	50
10963065 1.05	0.02	4.30	0.23	0.0118	0.0010	12.58	1.70	6316	45
11244118 1.10	0.05	6.43	0.58	0.0272	0.0034	23.17	3.89	5618	64
12009504 1.12	0.03	3.64	0.26	0.0152	0.0011	9.39	0.68	6270	61
12258514 1.19	0.03	4.03	0.32	0.0197	0.0015	15.00	1.84	5990	85
sun      1      0.001   4.57    0.001   0.0     0.001   26      0.001   5700    10
16CygA   1.08   0.02    7       0.3     0.021   0.002   23.8    1.65    5825    50
16CygB   1.04   0.02    7       0.3     0.021   0.002   23.2    7.35    5750    50
